age,Mspline,Sspline,Lspline
48.5,0.009280675,-0.041965949,0
48.75,0.008665988,-0.041475287,0
49,0.008051817,-0.040964825,0
49.25,0.007438008,-0.040434585,0
49.5,0.006824368,-0.039884632,0
49.75,0.006210693,-0.039315057,0
50,0.005596783,-0.038725951,0
50.25,0.004982444,-0.038117408,0
50.5,0.004367488,-0.037489519,0
50.75,0.003751734,-0.036842376,0
51,0.003135006,-0.036176071,0
51.25,0.002517131,-0.035490696,0
51.5,0.001897945,-0.034786343,0
51.75,0.001277287,-0.034063104,0
52,0.000655001,-0.033321072,0
52.25,3.09E-05,-0.032560337,0
52.5,-0.000595055,-0.031780993,0
52.75,-0.001223114,-0.030983131,0
53,-0.001853377,-0.030166843,0
53.25,-0.002485978,-0.029332221,0
53.5,-0.003121046,-0.028479374,0
53.75,-0.003758707,-0.02760843,0
54,-0.004399081,-0.02671952,0
54.25,-0.005042285,-0.025812777,0
54.5,-0.005688434,-0.024888331,0
54.75,-0.006337637,-0.023946313,0
55,-0.006990001,-0.022986855,0
55.25,-0.00764563,-0.022010087,0
55.5,-0.008304622,-0.021016142,0
55.75,-0.008967075,-0.02000515,0
56,-0.009633081,-0.018977242,0
56.25,-0.010302733,-0.01793255,0
56.5,-0.010976116,-0.016871205,0
56.75,-0.011653316,-0.015793338,0
57,-0.012334363,-0.014699081,0
57.25,-0.013019189,-0.013588564,0
57.5,-0.013707719,-0.012461914,0
57.75,-0.014399879,-0.011319244,0
58,-0.015095595,-0.010160661,0
58.25,-0.015794796,-0.008986275,0
58.5,-0.01649741,-0.007796193,0
58.75,-0.017203369,-0.006590523,0
59,-0.017912606,-0.005369375,0
59.25,-0.018625052,-0.004132857,0
59.5,-0.019340644,-0.002881076,0
59.75,-0.020059316,-0.001614142,0
60,-0.020781005,-0.000332163,0
60.25,-0.021505651,0.000964753,0
60.5,-0.022233191,0.002276497,0
60.75,-0.022963566,0.003602962,0
61,-0.023696719,0.004944038,0
61.25,-0.02443259,0.006299617,0
61.5,-0.025171123,0.00766959,0
61.75,-0.025912264,0.009053825,0
62,-0.026655957,0.010452182,0
62.25,-0.027402149,0.01186452,0
62.5,-0.028150787,0.013290698,0
62.75,-0.02890182,0.014730575,0
63,-0.029655197,0.016184011,0
63.25,-0.030410868,0.017650863,0
63.5,-0.031168784,0.019130992,0
63.75,-0.031928897,0.020624255,0
64,-0.03269116,0.022130513,0
64.25,-0.033455525,0.023649624,0
64.5,-0.034221949,0.025181448,0
64.75,-0.034990385,0.026725842,0
65,-0.035760789,0.028282667,0
65.25,-0.036533119,0.029851781,0
65.5,-0.037307331,0.031433043,0
65.75,-0.038083372,0.033026323,0
66,-0.038861137,0.034631499,0
66.25,-0.039640513,0.036248454,0
66.5,-0.040421391,0.037877067,0
66.75,-0.041203661,0.039517221,0
67,-0.041987218,0.041168795,0
67.25,-0.042771957,0.042831672,0
67.5,-0.043557778,0.044505732,0
67.75,-0.044344579,0.046190855,0
68,-0.045132265,0.047886924,0
68.25,-0.045920738,0.049593818,0
68.5,-0.046709906,0.05131142,0
68.75,-0.047499676,0.053039609,0
69,-0.04828996,0.054778268,0
69.25,-0.049080668,0.056527276,0
69.5,-0.049871716,0.058286515,0
69.75,-0.050663018,0.060055854,0
70,-0.051454492,0.061835126,0
70.25,-0.052246057,0.063624157,0
70.5,-0.053037633,0.06542277,0
70.75,-0.053829145,0.067230793,0
71,-0.054620514,0.069048049,0
71.25,-0.055411667,0.070874366,0
71.5,-0.056202532,0.072709566,0
71.75,-0.056993035,0.074553478,0
72,-0.057783109,0.076405924,0
72.25,-0.058572684,0.078266732,0
72.5,-0.059361693,0.080135726,0
72.75,-0.060150071,0.082012731,0
73,-0.060937754,0.083897573,0
73.25,-0.061724678,0.085790078,0
73.5,-0.062510781,0.08769007,0
73.75,-0.063296005,0.089597371,0
74,-0.064080289,0.091511779,0
74.25,-0.064863575,0.093433076,0
74.5,-0.065645808,0.095361045,0
74.75,-0.066426931,0.097295469,0
75,-0.06720689,0.099236131,0
75.25,-0.067985633,0.101182813,0
75.5,-0.068763106,0.1031353,0
75.75,-0.069539261,0.105093373,0
76,-0.070314055,0.107056816,0
76.25,-0.071087467,0.109025412,0
76.5,-0.071859475,0.110998943,0
76.75,-0.072630061,0.112977194,0
77,-0.073399205,0.114959945,0
77.25,-0.074166887,0.116946981,0
77.5,-0.07493309,0.118938084,0
77.75,-0.075697794,0.120933041,0
78,-0.076460982,0.122931647,0
78.25,-0.077222637,0.124933723,0
78.5,-0.077982743,0.126939091,0
78.75,-0.078741281,0.12894757,0
79,-0.079498238,0.130958981,0
79.25,-0.080253596,0.132973144,0
79.5,-0.08100734,0.134989881,0
79.75,-0.081759456,0.137009011,0
80,-0.082509929,0.139030355,0
