age,Mspline,Sspline,Lspline
48.5,0.019022308,-0.058485709,0
48.75,0.018217584,-0.057842234,0
49,0.017406699,-0.057172009,0
49.25,0.016589663,-0.05647516,0
49.5,0.015766488,-0.055751815,0
49.75,0.014937189,-0.0550021,0
50,0.014101822,-0.054226143,0
50.25,0.013260487,-0.05342407,0
50.5,0.012413283,-0.052596007,0
50.75,0.011560312,-0.051742083,0
51,0.010701668,-0.050862423,0
51.25,0.009837448,-0.049957155,0
51.5,0.008967744,-0.049026405,0
51.75,0.00809265,-0.0480703,0
52,0.007212254,-0.047088968,0
52.25,0.006326645,-0.046082547,0
52.5,0.00543591,-0.045051201,0
52.75,0.004540135,-0.043995098,0
53,0.003639404,-0.042914403,0
53.25,0.002733798,-0.041809284,0
53.5,0.001823398,-0.040679906,0
53.75,0.000908285,-0.039526437,0
54,-1.15E-05,-0.038349042,0
54.25,-0.000935773,-0.03714789,0
54.5,-0.001864566,-0.035923145,0
54.75,-0.002797768,-0.034674975,0
55,-0.003735307,-0.033403546,0
55.25,-0.004677112,-0.032109025,0
55.5,-0.005623112,-0.030791578,0
55.75,-0.006573238,-0.029451373,0
56,-0.007527423,-0.028088575,0
56.25,-0.008485599,-0.026703351,0
56.5,-0.0094477,-0.02529587,0
56.75,-0.010413663,-0.023866344,0
57,-0.011383424,-0.022415029,0
57.25,-0.012356921,-0.020942184,0
57.5,-0.013334091,-0.019448067,0
57.75,-0.014314876,-0.017932936,0
58,-0.015299215,-0.016397049,0
58.25,-0.01628705,-0.014840664,0
58.5,-0.017278297,-0.013264039,0
58.75,-0.018272804,-0.011667432,0
59,-0.019270414,-0.010051102,0
59.25,-0.020270971,-0.008415306,0
59.5,-0.021274326,-0.006760303,0
59.75,-0.022280331,-0.00508635,0
60,-0.023288842,-0.003393707,0
60.25,-0.024299716,-0.00168263,0
60.5,-0.025312818,4.66E-05,0
60.75,-0.02632801,0.00179379,0
61,-0.027345163,0.003558609,0
61.25,-0.028364146,0.005340737,0
61.5,-0.029384834,0.007139796,0
61.75,-0.030407103,0.008955409,0
62,-0.031430832,0.010787196,0
62.25,-0.032455905,0.01263478,0
62.5,-0.033482204,0.014497781,0
62.75,-0.034509618,0.016375822,0
63,-0.035538037,0.018268524,0
63.25,-0.036567351,0.020175509,0
63.5,-0.037597456,0.022096399,0
63.75,-0.038628249,0.024030815,0
64,-0.039659628,0.025978379,0
64.25,-0.040691496,0.027938712,0
64.5,-0.041723754,0.029911436,0
64.75,-0.04275631,0.031896173,0
65,-0.04378907,0.033892544,0
65.25,-0.044821945,0.035900172,0
65.5,-0.045854846,0.03791869,0
65.75,-0.046887687,0.039947787,0
66,-0.047920383,0.041987161,0
66.25,-0.048952852,0.044036513,0
66.5,-0.049985012,0.046095542,0
66.75,-0.051016786,0.048163949,0
67,-0.052048096,0.050241432,0
67.25,-0.053078866,0.052327691,0
67.5,-0.054109022,0.054422427,0
67.75,-0.055138493,0.056525339,0
68,-0.056167207,0.058636127,0
68.25,-0.057195096,0.06075449,0
68.5,-0.058222092,0.062880129,0
68.75,-0.059248135,0.065012742,0
69,-0.060273167,0.06715203,0
69.25,-0.061297129,0.069297693,0
69.5,-0.062319967,0.07144943,0
69.75,-0.063341624,0.073606941,0
70,-0.064362048,0.075769948,0
70.25,-0.065381187,0.077938212,0
70.5,-0.066398988,0.0801115,0
70.75,-0.067415403,0.082289578,0
71,-0.068430383,0.084472213,0
71.25,-0.069443879,0.086659171,0
71.5,-0.070455845,0.088850217,0
71.75,-0.071466235,0.09104512,0
72,-0.072475005,0.093243644,0
72.25,-0.073482112,0.095445557,0
72.5,-0.074487512,0.097650625,0
72.75,-0.075491164,0.099858613,0
73,-0.076493028,0.102069289,0
73.25,-0.077493063,0.104282419,0
73.5,-0.078491232,0.106497769,0
73.75,-0.079487496,0.108715106,0
74,-0.080481817,0.110934195,0
74.25,-0.081474161,0.113154806,0
74.5,-0.082464492,0.115376752,0
74.75,-0.083452775,0.117599889,0
75,-0.084438976,0.119824077,0
75.25,-0.085423063,0.122049173,0
75.5,-0.086405004,0.124275038,0
75.75,-0.087384767,0.12650153,0
76,-0.088362322,0.128728506,0
76.25,-0.089337639,0.130955827,0
76.5,-0.090310688,0.133183351,0
76.75,-0.091281442,0.135410937,0
77,-0.092249873,0.137638443,0
77.25,-0.093215952,0.139865728,0
77.5,-0.094179656,0.142092651,0
77.75,-0.095140956,0.14431907,0
78,-0.096099829,0.146544845,0
78.25,-0.097056249,0.148769834,0
78.5,-0.098010193,0.150993893,0
78.75,-0.098961638,0.1532169,0
79,-0.099910561,0.155438825,0
79.25,-0.100856939,0.157659692,0
79.5,-0.101800752,0.159879528,0
79.75,-0.102741978,0.162098358,0
80,-0.103680596,0.164316207,0
