age,Mspline,Sspline,Lspline
47.75,0.014070964,-0.03742607,0
48,0.013095293,-0.035809554,0
48.25,0.012117211,-0.034185461,0
48.5,0.011136846,-0.032553999,0
48.75,0.010154324,-0.030915374,0
49,0.009169768,-0.029269786,0
49.25,0.008183296,-0.027617432,0
49.5,0.007195026,-0.025958502,0
49.75,0.00620507,-0.024293183,0
50,0.005213539,-0.022621659,0
50.25,0.004220539,-0.020944108,0
50.5,0.003226177,-0.01926071,0
50.75,0.002230567,-0.017571696,0
51,0.001233828,-0.015877329,0
51.25,0.000236077,-0.014177864,0
51.5,-0.000762572,-0.012473553,0
51.75,-0.00176201,-0.010764637,0
52,-0.00276213,-0.009051354,0
52.25,-0.003762826,-0.007333937,0
52.5,-0.004763997,-0.00561261,0
52.75,-0.005765545,-0.003887594,0
53,-0.006767372,-0.002159104,0
53.25,-0.007769385,-0.00042735,0
53.5,-0.008771493,0.001307465,0
53.75,-0.009773606,0.003045142,0
54,-0.010775639,0.004785485,0
54.25,-0.011777506,0.006528305,0
54.5,-0.012779126,0.008273417,0
54.75,-0.013780419,0.010020642,0
55,-0.014781307,0.011769802,0
55.25,-0.015781715,0.013520726,0
55.5,-0.016781569,0.015273247,0
55.75,-0.017780797,0.017027201,0
56,-0.018779329,0.018782429,0
56.25,-0.019777098,0.020538776,0
56.5,-0.020774037,0.02229609,0
56.75,-0.021770081,0.024054222,0
57,-0.02276517,0.02581303,0
57.25,-0.023759241,0.02757237,0
57.5,-0.024752234,0.029332108,0
57.75,-0.025744094,0.031092107,0
58,-0.026734762,0.032852238,0
58.25,-0.027724185,0.034612374,0
58.5,-0.028712309,0.036372388,0
58.75,-0.029699083,0.038132161,0
59,-0.030684462,0.039891566,0
59.25,-0.031668406,0.04165047,0
59.5,-0.032650878,0.043408744,0
59.75,-0.033631843,0.045166263,0
60,-0.034611265,0.046922902,0
60.25,-0.035589109,0.048678543,0
60.5,-0.036565343,0.050433067,0
60.75,-0.037539934,0.052186361,0
61,-0.03851285,0.053938314,0
61.25,-0.039484062,0.055688816,0
61.5,-0.04045354,0.057437763,0
61.75,-0.041421254,0.059185049,0
62,-0.042387177,0.060930576,0
62.25,-0.043351281,0.062674244,0
62.5,-0.044313541,0.064415959,0
62.75,-0.045273931,0.066155625,0
63,-0.046232425,0.067893153,0
63.25,-0.047189,0.069628454,0
63.5,-0.048143633,0.07136144,0
63.75,-0.0490963,0.073092029,0
64,-0.05004698,0.074820136,0
64.25,-0.050995651,0.076545683,0
64.5,-0.051942293,0.078268591,0
64.75,-0.052886886,0.079988783,0
65,-0.05382941,0.081706186,0
65.25,-0.054769846,0.083420727,0
65.5,-0.055708177,0.085132336,0
65.75,-0.056644383,0.086840944,0
66,-0.05757845,0.088546484,0
66.25,-0.058510359,0.09024889,0
66.5,-0.059440095,0.0919481,0
66.75,-0.060367642,0.093644051,0
67,-0.061292986,0.095336683,0
67.25,-0.062216111,0.097025938,0
67.5,-0.063137005,0.098711757,0
67.75,-0.064055652,0.100394087,0
68,-0.064972041,0.102072871,0
68.25,-0.065886159,0.103748058,0
68.5,-0.066797994,0.105419598,0
68.75,-0.067707537,0.107087453,0
69,-0.068614782,0.108751595,0
69.25,-0.069519723,0.110411997,0
69.5,-0.070422354,0.11206863,0
69.75,-0.071322669,0.113721468,0
70,-0.072220663,0.115370487,0
70.25,-0.073116332,0.117015661,0
70.5,-0.074009669,0.118656968,0
70.75,-0.074900672,0.120294382,0
71,-0.075789335,0.121927883,0
71.25,-0.076675655,0.123557449,0
71.5,-0.077559628,0.125183059,0
71.75,-0.078441251,0.126804693,0
72,-0.07932052,0.128422331,0
72.25,-0.080197432,0.130035954,0
72.5,-0.081071984,0.131645545,0
72.75,-0.081944175,0.133251086,0
73,-0.082814001,0.134852559,0
73.25,-0.083681461,0.13644995,0
73.5,-0.084546552,0.138043241,0
73.75,-0.085409273,0.139632419,0
74,-0.086269622,0.141217468,0
74.25,-0.087127598,0.142798374,0
74.5,-0.087983199,0.144375125,0
74.75,-0.088836425,0.145947707,0
75,-0.089687275,0.147516108,0
75.25,-0.090535748,0.149080317,0
75.5,-0.091381844,0.150640321,0
75.75,-0.092225562,0.15219611,0
76,-0.093066901,0.153747673,0
76.25,-0.093905863,0.155295002,0
76.5,-0.094742447,0.156838085,0
76.75,-0.095576654,0.158376915,0
77,-0.096408483,0.159911483,0
77.25,-0.097237935,0.16144178,0
77.5,-0.098065012,0.1629678,0
77.75,-0.098889713,0.164489533,0
78,-0.09971204,0.166006975,0
78.25,-0.100531994,0.167520117,0
78.5,-0.101349576,0.169028955,0
78.75,-0.102164788,0.170533482,0
79,-0.10297763,0.172033693,0
79.25,-0.103788103,0.173529581,0
79.5,-0.104596209,0.175021139,0
79.75,-0.105401954,0.176508375,0
80,-0.106205344,0.177991296,0
80.25,-0.107006386,0.179469911,0
80.5,-0.107805091,0.180944241,0
80.75,-0.108601473,0.18241431,0
81,-0.109395541,0.183880135,0
81.25,-0.110187306,0.185341735,0
81.5,-0.110976778,0.186799128,0
81.75,-0.111763968,0.188252333,0
82,-0.112548886,0.189701369,0
82.25,-0.113331543,0.191146253,0
82.5,-0.11411195,0.192587005,0
82.75,-0.114890115,0.194023641,0
83,-0.11566605,0.195456181,0
83.25,-0.116439765,0.196884641,0
83.5,-0.117211269,0.198309041,0
83.75,-0.117980573,0.199729397,0
84,-0.118747686,0.201145727,0
84.25,-0.119512619,0.202558049,0
84.5,-0.120275381,0.203966381,0
84.75,-0.121035982,0.205370738,0
85,-0.121794431,0.206771139,0
85.25,-0.122550739,0.208167601,0
85.5,-0.123304915,0.20956014,0
85.75,-0.124056968,0.210948774,0
86,-0.124806908,0.21233352,0
86.25,-0.125554744,0.213714394,0
86.5,-0.126300486,0.215091413,0
86.75,-0.127044144,0.216464594,0
87,-0.127785725,0.217833953,0
87.25,-0.12852524,0.219199506,0
87.5,-0.129262697,0.22056127,0
87.75,-0.129998105,0.22191926,0
88,-0.130731473,0.223273492,0
88.25,-0.13146281,0.224623981,0
88.5,-0.132192125,0.225970743,0
88.75,-0.132919426,0.227313795,0
89,-0.133644726,0.228653156,0
89.25,-0.134368038,0.229988855,0
89.5,-0.135089364,0.231320894,0
89.75,-0.135808703,0.232649267,0
90,-0.136526054,0.233973969,0
